address,city,zip,Residence_Addresses_Latitude,Residence_Addresses_Longitude,id
368 Dorchester ST South Boston 02127,South Boston,2127,42.33011,-71.055443,218
31 Pond View AVE Jamaica Plain 02130,Jamaica Plain,2130,,,219
847 E Fifth ST South Boston 02127,South Boston,2127,,,220
2010 Dorchester AVE Dorchester 02124,Dorchester,2124,42.282326,-71.065063,221
76 Ashford ST Allston 02134,Allston,2134,,,222
100 Legends WY Boston 02114,Boston,2114,,,223
372 Metropolitan AVE Roslindale 02131,Roslindale,2131,42.272961,-71.123041,224
373 Northampton ST Roxbury 02118,Roxbury,2118,,,225
80 to 100 Smith ST Mission Hill 02120,Mission Hill,2120,,,226
94 Saint Alphonsus ST Mission Hill 02120,Mission Hill,2120,,,227
80 to 100 Smith ST Mission Hill 02120,Mission Hill,2120,,,228
51 Saint Margaret ST Dorchester 02125,Dorchester,2125,,,229
32R Augustus Av Roslindale 02131,Roslindale,2131,,,230
40 to 42 Fowler ST Dorchester 02121,Dorchester,2121,,,231
46 Montgomery ST Roxbury 02116,Roxbury,2116,42.34355,-71.07346,232
3141 Washington ST Jamaica Plain 02130,Jamaica Plain,2130,42.314173,-71.100268,233
38 Allston ST Charlestown 02129,Charlestown,2129,,,234
17R Rockville PK Roxbury 02119,Roxbury,2119,,,235
13 Rockville Pk Roxbury 02119,Roxbury,2119,,,236
4 to 6 Milton AVE Dorchester 02124,Dorchester,2124,,,237
92 Windham RD Hyde Park 02136,Hyde Park,2136,42.26931,-71.12514,238
56 Murdock ST Brighton 02135,Brighton,2135,,,239
58 Murdock ST Brighton 02135,Brighton,2135,,,240
58 Murdock ST Brighton 02135,Brighton,2135,,,241
780 to 780B Adams ST Dorchester 02122,Dorchester,2122,,,242
11 Knox ST Boston 02116,Boston,2116,42.348683,-71.068478,243
65 High ST Charlestown 02129,Charlestown,2129,42.37685,-71.06379,244
34 to 36 Cohasset ST Roslindale 02131,Roslindale,2131,42.28512,-71.13052,245
38 Sycamore ST Roslindale 02131,Roslindale,2131,42.28309,-71.1271,246
117 Heath ST Mission Hill 02120,Mission Hill,2120,,,247
1295 to 1297 River ST Hyde Park 02136,Hyde Park,2136,,,248
57 Samoset ST Dorchester 02124,Dorchester,2124,,,249
10 Linden ST South Boston 02127,South Boston,2127,42.334202,-71.04513,250
8 Friendship RD Mattapan 02126,Mattapan,2126,,,251
260 Newbury ST Boston 02116,Boston,2116,,,252
12 Cawfield ST Dorchester 02125,Dorchester,2125,,,253
2 Dexter ROW Charlestown 02129,Charlestown,2129,,,254
28 Gaston ST Dorchester 02121,Dorchester,2121,42.31379,-71.081028,255
94 Perham ST West Roxbury 02132,West Roxbury,2132,42.28265,-71.16434,256
18 Albion St Roxbury 02119,Roxbury,2119,,,257
5 Grayfield AVE West Roxbury 02132,West Roxbury,2132,42.29022,-71.15984,258
6 Greenough AVE Jamaica Plain 02130,Jamaica Plain,2130,42.310196,-71.114294,259
84 Baxter St South Boston 02127,South Boston,2127,,,260
116 Cambridge ST Charlestown 02129,Charlestown,2129,,,261
25 Oriole ST West Roxbury 02132,West Roxbury,2132,42.28059,-71.15021,262
